# trace: 第一关-0-60秒-内存录屏.json
# startTime: 2026-05-02T13:34:03.731Z
# tsMin: 48886771547 tsMax: 48971073769 range_us: 84302222
time_s,event,documents,jsListeners,nodes,heap_used_mb,gc_heap_before_mb,gc_heap_after_mb,dur_ms,url_or_note
6.242,UpdateCounters,1,86,1183,36.77,,,,
6.628,UpdateCounters,1,89,1183,40.42,,,,
6.652,UpdateCounters,1,92,1183,40.76,,,,
7.012,MinorGC,,,,,43.93,32.84,1.361,allocation failure
7.112,UpdateCounters,1,95,1183,33.67,,,,
7.137,UpdateCounters,1,98,1183,34.00,,,,
7.407,MajorGC,,,,,36.37,27.45,7.081,finalize incremental marking via task
7.422,UpdateCounters,1,55,1182,27.59,,,,
7.751,UpdateCounters,1,58,1182,30.68,,,,
7.773,UpdateCounters,1,61,1182,30.88,,,,
8.652,UpdateCounters,1,64,1182,38.58,,,,
8.675,UpdateCounters,1,67,1182,38.78,,,,
8.947,MinorGC,,,,,41.18,29.51,1.216,allocation failure
9.184,UpdateCounters,1,70,1182,31.60,,,,
9.207,UpdateCounters,1,73,1182,31.79,,,,
9.566,UpdateCounters,1,73,1183,35.06,,,,
9.707,UpdateCounters,1,76,1183,36.44,,,,
9.733,UpdateCounters,1,79,1183,36.83,,,,
10.316,MinorGC,,,,,42.12,31.13,2.437,allocation failure
10.492,UpdateCounters,1,82,1183,32.70,,,,
10.533,UpdateCounters,1,85,1183,33.17,,,,
10.994,UpdateCounters,1,88,1183,37.15,,,,
11.024,UpdateCounters,1,91,1183,37.50,,,,
11.559,UpdateCounters,1,94,1183,42.09,,,,
11.583,UpdateCounters,1,97,1183,42.42,,,,
11.747,MinorGC,,,,,43.88,32.76,1.858,allocation failure
12.555,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/a89a6ebc-b048-470c-8792-b8d119b80101
12.558,UpdateCounters,1,101,1183,39.89,,,,
12.560,XHRLoad,,,,,,,0.529,http://localhost:7456/query-extname/a89a6ebc-b048-470c-8792-b8d119b80101
12.560,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/a8/a89a6ebc-b048-470c-8792-b8d119b80101.json
12.565,UpdateCounters,1,105,1183,40.11,,,,
12.566,XHRLoad,,,,,,,0.982,http://localhost:7456/assets/resources/import/a8/a89a6ebc-b048-470c-8792-b8d119b80101.json
12.567,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/native/a8/a89a6ebc-b048-470c-8792-b8d119b80101.mp3
12.570,UpdateCounters,1,109,1183,40.12,,,,
12.571,XHRLoad,,,,,,,0.122,http://localhost:7456/assets/resources/native/a8/a89a6ebc-b048-470c-8792-b8d119b80101.mp3
12.577,UpdateCounters,1,112,1183,40.13,,,,
13.098,MinorGC,,,,,45.62,34.61,1.645,allocation failure
13.117,MajorGC,,,,,34.90,27.56,6.36,finalize incremental marking via task
13.129,UpdateCounters,1,55,1183,27.56,,,,
13.677,MajorGC,,,,,37.58,27.54,6.767,finalize incremental marking via task
14.234,MajorGC,,,,,36.80,27.67,5.855,finalize incremental marking via task
14.461,UpdateCounters,1,55,1184,31.52,,,,
14.700,MajorGC,,,,,36.25,27.76,6.082,finalize incremental marking via task
14.712,UpdateCounters,1,55,1183,27.76,,,,
15.093,MajorGC,,,,,34.83,27.71,6.192,finalize incremental marking via task
15.515,UpdateCounters,1,55,1184,35.25,,,,
15.533,MajorGC,,,,,35.53,27.89,6.034,finalize incremental marking via task
15.768,MajorGC,,,,,32.78,27.85,6.368,finalize incremental marking via task
15.950,UpdateCounters,1,55,1185,31.45,,,,
16.035,UpdateCounters,1,55,1186,33.36,,,,
16.060,MajorGC,,,,,33.63,27.80,5.878,finalize incremental marking via task
16.079,UpdateCounters,1,55,1185,28.11,,,,
16.749,UpdateCounters,1,55,1186,37.34,,,,
17.148,UpdateCounters,1,55,1187,41.01,,,,
17.197,MinorGC,,,,,41.47,29.57,1.189,allocation failure
17.216,MajorGC,,,,,29.72,27.99,5.983,finalize incremental marking via task
18.234,MajorGC,,,,,43.40,28.13,5.741,finalize incremental marking via task
18.505,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/e4d32b71-7ab4-4ff8-a2da-746bfab4687d@f9941
18.505,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/7d70b793-ec2b-4e29-b261-87438220a55f@f9941
18.506,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/a71fae63-d98d-4f79-b38c-2b982c5da995@f9941
18.507,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/be7afa62-de16-408c-97b1-a2022bed51ad@f9941
18.508,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/f1fb4867-f995-4e7f-85d6-7e88874efed7@f9941
18.509,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/843d42e9-9862-44f8-9091-197f792cd39c@f9941
18.513,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/4c666c7b-0d8b-4d6c-ba59-0d128135057f@f9941
18.515,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/fee84d86-3ac1-4e40-bfba-de704c95416b@f9941
18.516,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/d93d4729-b689-4dbf-85a1-cdb17449f774@f9941
18.517,UpdateCounters,1,64,1187,32.37,,,,
18.524,XHRLoad,,,,,,,0.813,http://localhost:7456/query-extname/e4d32b71-7ab4-4ff8-a2da-746bfab4687d@f9941
18.525,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/e4/e4d32b71-7ab4-4ff8-a2da-746bfab4687d@f9941.json
18.525,XHRLoad,,,,,,,0.556,http://localhost:7456/query-extname/7d70b793-ec2b-4e29-b261-87438220a55f@f9941
18.525,UpdateCounters,1,68,1187,32.71,,,,
18.526,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/7d/7d70b793-ec2b-4e29-b261-87438220a55f@f9941.json
18.526,XHRLoad,,,,,,,0.94,http://localhost:7456/query-extname/a71fae63-d98d-4f79-b38c-2b982c5da995@f9941
18.526,UpdateCounters,1,72,1187,32.71,,,,
18.527,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/a7/a71fae63-d98d-4f79-b38c-2b982c5da995@f9941.json
18.528,XHRLoad,,,,,,,0.551,http://localhost:7456/query-extname/be7afa62-de16-408c-97b1-a2022bed51ad@f9941
18.528,UpdateCounters,1,76,1187,32.72,,,,
18.528,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/be/be7afa62-de16-408c-97b1-a2022bed51ad@f9941.json
18.533,UpdateCounters,1,80,1187,32.96,,,,
18.533,XHRLoad,,,,,,,0.95,http://localhost:7456/query-extname/f1fb4867-f995-4e7f-85d6-7e88874efed7@f9941
18.534,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/f1/f1fb4867-f995-4e7f-85d6-7e88874efed7@f9941.json
18.535,XHRLoad,,,,,,,0.73,http://localhost:7456/query-extname/843d42e9-9862-44f8-9091-197f792cd39c@f9941
18.535,UpdateCounters,1,84,1187,32.97,,,,
18.535,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/84/843d42e9-9862-44f8-9091-197f792cd39c@f9941.json
18.536,XHRLoad,,,,,,,0.667,http://localhost:7456/query-extname/4c666c7b-0d8b-4d6c-ba59-0d128135057f@f9941
18.536,UpdateCounters,1,88,1187,32.97,,,,
18.536,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/4c/4c666c7b-0d8b-4d6c-ba59-0d128135057f@f9941.json
18.537,XHRLoad,,,,,,,0.937,http://localhost:7456/query-extname/fee84d86-3ac1-4e40-bfba-de704c95416b@f9941
18.537,UpdateCounters,1,92,1187,32.97,,,,
18.538,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/fe/fee84d86-3ac1-4e40-bfba-de704c95416b@f9941.json
18.539,XHRLoad,,,,,,,1.091,http://localhost:7456/query-extname/d93d4729-b689-4dbf-85a1-cdb17449f774@f9941
18.539,UpdateCounters,1,96,1187,32.97,,,,
18.539,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/d9/d93d4729-b689-4dbf-85a1-cdb17449f774@f9941.json
18.541,XHRLoad,,,,,,,2.211,http://localhost:7456/assets/resources/import/e4/e4d32b71-7ab4-4ff8-a2da-746bfab4687d@f9941.json
18.542,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/e4d32b71-7ab4-4ff8-a2da-746bfab4687d@6c48a
18.543,UpdateCounters,1,101,1187,32.99,,,,
18.544,XHRLoad,,,,,,,1.482,http://localhost:7456/assets/resources/import/7d/7d70b793-ec2b-4e29-b261-87438220a55f@f9941.json
18.544,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/7d70b793-ec2b-4e29-b261-87438220a55f@6c48a
18.545,UpdateCounters,1,102,1187,33.03,,,,
18.546,XHRLoad,,,,,,,1.679,http://localhost:7456/assets/resources/import/a7/a71fae63-d98d-4f79-b38c-2b982c5da995@f9941.json
18.547,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/a71fae63-d98d-4f79-b38c-2b982c5da995@6c48a
18.548,UpdateCounters,1,103,1187,33.04,,,,
18.549,XHRLoad,,,,,,,1.364,http://localhost:7456/assets/resources/import/be/be7afa62-de16-408c-97b1-a2022bed51ad@f9941.json
18.549,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/be7afa62-de16-408c-97b1-a2022bed51ad@6c48a
18.550,UpdateCounters,1,104,1187,33.06,,,,
18.555,XHRLoad,,,,,,,1.711,http://localhost:7456/assets/resources/import/f1/f1fb4867-f995-4e7f-85d6-7e88874efed7@f9941.json
18.556,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/f1fb4867-f995-4e7f-85d6-7e88874efed7@6c48a
18.557,UpdateCounters,1,105,1187,33.32,,,,
18.558,XHRLoad,,,,,,,1.601,http://localhost:7456/assets/resources/import/84/843d42e9-9862-44f8-9091-197f792cd39c@f9941.json
18.558,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/843d42e9-9862-44f8-9091-197f792cd39c@6c48a
18.559,UpdateCounters,1,106,1187,33.45,,,,
18.560,XHRLoad,,,,,,,1.836,http://localhost:7456/assets/resources/import/4c/4c666c7b-0d8b-4d6c-ba59-0d128135057f@f9941.json
18.561,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/4c666c7b-0d8b-4d6c-ba59-0d128135057f@6c48a
18.562,UpdateCounters,1,107,1187,33.40,,,,
18.563,XHRLoad,,,,,,,1.299,http://localhost:7456/assets/resources/import/fe/fee84d86-3ac1-4e40-bfba-de704c95416b@f9941.json
18.564,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/fee84d86-3ac1-4e40-bfba-de704c95416b@6c48a
18.564,UpdateCounters,1,108,1187,33.41,,,,
18.565,XHRLoad,,,,,,,1.693,http://localhost:7456/assets/resources/import/d9/d93d4729-b689-4dbf-85a1-cdb17449f774@f9941.json
18.565,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/d93d4729-b689-4dbf-85a1-cdb17449f774@6c48a
18.566,UpdateCounters,1,109,1187,33.42,,,,
18.567,XHRLoad,,,,,,,0.765,http://localhost:7456/query-extname/e4d32b71-7ab4-4ff8-a2da-746bfab4687d@6c48a
18.568,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/e4/e4d32b71-7ab4-4ff8-a2da-746bfab4687d@6c48a.json
18.568,XHRLoad,,,,,,,0.663,http://localhost:7456/query-extname/7d70b793-ec2b-4e29-b261-87438220a55f@6c48a
18.569,UpdateCounters,1,113,1187,33.42,,,,
18.569,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/7d/7d70b793-ec2b-4e29-b261-87438220a55f@6c48a.json
18.569,XHRLoad,,,,,,,0.801,http://localhost:7456/query-extname/a71fae63-d98d-4f79-b38c-2b982c5da995@6c48a
18.569,UpdateCounters,1,117,1187,33.43,,,,
18.570,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/a7/a71fae63-d98d-4f79-b38c-2b982c5da995@6c48a.json
18.575,UpdateCounters,1,121,1187,33.72,,,,
18.576,XHRLoad,,,,,,,0.744,http://localhost:7456/query-extname/be7afa62-de16-408c-97b1-a2022bed51ad@6c48a
18.577,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/be/be7afa62-de16-408c-97b1-a2022bed51ad@6c48a.json
18.577,XHRLoad,,,,,,,0.597,http://localhost:7456/query-extname/f1fb4867-f995-4e7f-85d6-7e88874efed7@6c48a
18.577,UpdateCounters,1,125,1187,33.72,,,,
18.578,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/f1/f1fb4867-f995-4e7f-85d6-7e88874efed7@6c48a.json
18.579,XHRLoad,,,,,,,0.964,http://localhost:7456/query-extname/843d42e9-9862-44f8-9091-197f792cd39c@6c48a
18.579,UpdateCounters,1,129,1187,33.72,,,,
18.579,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/84/843d42e9-9862-44f8-9091-197f792cd39c@6c48a.json
18.580,XHRLoad,,,,,,,0.599,http://localhost:7456/query-extname/4c666c7b-0d8b-4d6c-ba59-0d128135057f@6c48a
18.580,UpdateCounters,1,133,1187,33.73,,,,
18.580,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/4c/4c666c7b-0d8b-4d6c-ba59-0d128135057f@6c48a.json
18.581,XHRLoad,,,,,,,0.591,http://localhost:7456/query-extname/fee84d86-3ac1-4e40-bfba-de704c95416b@6c48a
18.581,UpdateCounters,1,137,1187,33.73,,,,
18.581,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/fe/fee84d86-3ac1-4e40-bfba-de704c95416b@6c48a.json
18.582,XHRLoad,,,,,,,0.628,http://localhost:7456/query-extname/d93d4729-b689-4dbf-85a1-cdb17449f774@6c48a
18.582,UpdateCounters,1,141,1187,33.73,,,,
18.582,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/d9/d93d4729-b689-4dbf-85a1-cdb17449f774@6c48a.json
18.583,XHRLoad,,,,,,,0.996,http://localhost:7456/assets/resources/import/e4/e4d32b71-7ab4-4ff8-a2da-746bfab4687d@6c48a.json
18.584,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/e4d32b71-7ab4-4ff8-a2da-746bfab4687d
18.584,UpdateCounters,1,146,1187,33.75,,,,
18.590,XHRLoad,,,,,,,1.253,http://localhost:7456/assets/resources/import/7d/7d70b793-ec2b-4e29-b261-87438220a55f@6c48a.json
18.591,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/7d70b793-ec2b-4e29-b261-87438220a55f
18.591,UpdateCounters,1,147,1187,33.98,,,,
18.592,XHRLoad,,,,,,,1.022,http://localhost:7456/assets/resources/import/a7/a71fae63-d98d-4f79-b38c-2b982c5da995@6c48a.json
18.592,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/a71fae63-d98d-4f79-b38c-2b982c5da995
18.593,UpdateCounters,1,148,1187,33.99,,,,
18.593,XHRLoad,,,,,,,1.017,http://localhost:7456/assets/resources/import/be/be7afa62-de16-408c-97b1-a2022bed51ad@6c48a.json
18.594,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/be7afa62-de16-408c-97b1-a2022bed51ad
18.594,UpdateCounters,1,149,1187,34.01,,,,
18.595,XHRLoad,,,,,,,1.557,http://localhost:7456/assets/resources/import/f1/f1fb4867-f995-4e7f-85d6-7e88874efed7@6c48a.json
18.596,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/f1fb4867-f995-4e7f-85d6-7e88874efed7
18.596,UpdateCounters,1,150,1187,34.02,,,,
18.597,XHRLoad,,,,,,,1.038,http://localhost:7456/assets/resources/import/84/843d42e9-9862-44f8-9091-197f792cd39c@6c48a.json
18.598,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/843d42e9-9862-44f8-9091-197f792cd39c
18.598,UpdateCounters,1,151,1187,34.04,,,,
18.599,XHRLoad,,,,,,,0.888,http://localhost:7456/assets/resources/import/4c/4c666c7b-0d8b-4d6c-ba59-0d128135057f@6c48a.json
18.599,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/4c666c7b-0d8b-4d6c-ba59-0d128135057f
18.600,UpdateCounters,1,152,1187,34.05,,,,
18.600,XHRLoad,,,,,,,0.913,http://localhost:7456/assets/resources/import/fe/fee84d86-3ac1-4e40-bfba-de704c95416b@6c48a.json
18.601,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/fee84d86-3ac1-4e40-bfba-de704c95416b
18.601,UpdateCounters,1,153,1187,34.06,,,,
18.602,XHRLoad,,,,,,,0.934,http://localhost:7456/assets/resources/import/d9/d93d4729-b689-4dbf-85a1-cdb17449f774@6c48a.json
18.602,ResourceSendRequest,,,,,,,,http://localhost:7456/query-extname/d93d4729-b689-4dbf-85a1-cdb17449f774
18.603,UpdateCounters,1,154,1187,34.07,,,,
18.607,XHRLoad,,,,,,,0.904,http://localhost:7456/query-extname/e4d32b71-7ab4-4ff8-a2da-746bfab4687d
18.608,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/e4/e4d32b71-7ab4-4ff8-a2da-746bfab4687d.json
18.609,XHRLoad,,,,,,,0.838,http://localhost:7456/query-extname/7d70b793-ec2b-4e29-b261-87438220a55f
18.609,UpdateCounters,1,158,1187,34.29,,,,
18.609,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/7d/7d70b793-ec2b-4e29-b261-87438220a55f.json
18.610,XHRLoad,,,,,,,0.546,http://localhost:7456/query-extname/a71fae63-d98d-4f79-b38c-2b982c5da995
18.610,UpdateCounters,1,162,1187,34.29,,,,
18.610,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/a7/a71fae63-d98d-4f79-b38c-2b982c5da995.json
18.611,XHRLoad,,,,,,,1.064,http://localhost:7456/query-extname/be7afa62-de16-408c-97b1-a2022bed51ad
18.611,UpdateCounters,1,166,1187,34.30,,,,
18.611,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/be/be7afa62-de16-408c-97b1-a2022bed51ad.json
18.613,XHRLoad,,,,,,,1.251,http://localhost:7456/query-extname/f1fb4867-f995-4e7f-85d6-7e88874efed7
18.613,UpdateCounters,1,170,1187,34.30,,,,
18.614,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/f1/f1fb4867-f995-4e7f-85d6-7e88874efed7.json
18.615,XHRLoad,,,,,,,0.561,http://localhost:7456/query-extname/843d42e9-9862-44f8-9091-197f792cd39c
18.615,UpdateCounters,1,174,1187,34.30,,,,
18.615,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/84/843d42e9-9862-44f8-9091-197f792cd39c.json
18.616,XHRLoad,,,,,,,0.558,http://localhost:7456/query-extname/4c666c7b-0d8b-4d6c-ba59-0d128135057f
18.616,UpdateCounters,1,178,1187,34.31,,,,
18.616,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/4c/4c666c7b-0d8b-4d6c-ba59-0d128135057f.json
18.617,UpdateCounters,1,182,1187,34.31,,,,
18.622,XHRLoad,,,,,,,0.781,http://localhost:7456/query-extname/fee84d86-3ac1-4e40-bfba-de704c95416b
18.623,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/fe/fee84d86-3ac1-4e40-bfba-de704c95416b.json
18.624,XHRLoad,,,,,,,1.075,http://localhost:7456/query-extname/d93d4729-b689-4dbf-85a1-cdb17449f774
18.624,UpdateCounters,1,186,1187,34.55,,,,
18.624,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/import/d9/d93d4729-b689-4dbf-85a1-cdb17449f774.json
18.625,XHRLoad,,,,,,,0.705,http://localhost:7456/assets/resources/import/e4/e4d32b71-7ab4-4ff8-a2da-746bfab4687d.json
18.626,UpdateCounters,1,190,1187,34.56,,,,
18.626,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/native/e4/e4d32b71-7ab4-4ff8-a2da-746bfab4687d.png
18.627,XHRLoad,,,,,,,0.814,http://localhost:7456/assets/resources/import/7d/7d70b793-ec2b-4e29-b261-87438220a55f.json
18.627,UpdateCounters,1,192,1188,34.57,,,,
18.627,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/native/7d/7d70b793-ec2b-4e29-b261-87438220a55f.png
18.628,XHRLoad,,,,,,,0.981,http://localhost:7456/assets/resources/import/a7/a71fae63-d98d-4f79-b38c-2b982c5da995.json
18.628,UpdateCounters,1,194,1189,34.57,,,,
18.629,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/native/a7/a71fae63-d98d-4f79-b38c-2b982c5da995.png
18.630,XHRLoad,,,,,,,0.716,http://localhost:7456/assets/resources/import/be/be7afa62-de16-408c-97b1-a2022bed51ad.json
18.630,UpdateCounters,1,196,1190,34.59,,,,
18.630,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/native/be/be7afa62-de16-408c-97b1-a2022bed51ad.png
18.631,XHRLoad,,,,,,,0.82,http://localhost:7456/assets/resources/import/f1/f1fb4867-f995-4e7f-85d6-7e88874efed7.json
18.631,UpdateCounters,1,198,1191,34.59,,,,
18.632,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/native/f1/f1fb4867-f995-4e7f-85d6-7e88874efed7.png
18.632,UpdateCounters,1,200,1192,34.60,,,,
18.639,XHRLoad,,,,,,,0.969,http://localhost:7456/assets/resources/import/4c/4c666c7b-0d8b-4d6c-ba59-0d128135057f.json
18.640,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/native/4c/4c666c7b-0d8b-4d6c-ba59-0d128135057f.png
18.642,XHRLoad,,,,,,,0.559,http://localhost:7456/assets/resources/import/84/843d42e9-9862-44f8-9091-197f792cd39c.json
18.642,UpdateCounters,1,202,1193,34.83,,,,
18.642,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/native/84/843d42e9-9862-44f8-9091-197f792cd39c.png
18.643,XHRLoad,,,,,,,0.462,http://localhost:7456/assets/resources/import/fe/fee84d86-3ac1-4e40-bfba-de704c95416b.json
18.643,UpdateCounters,1,204,1194,34.84,,,,
18.643,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/native/fe/fee84d86-3ac1-4e40-bfba-de704c95416b.png
18.644,XHRLoad,,,,,,,0.525,http://localhost:7456/assets/resources/import/d9/d93d4729-b689-4dbf-85a1-cdb17449f774.json
18.644,UpdateCounters,1,206,1195,34.84,,,,
18.644,ResourceSendRequest,,,,,,,,http://localhost:7456/assets/resources/native/d9/d93d4729-b689-4dbf-85a1-cdb17449f774.png
18.645,UpdateCounters,1,208,1196,34.84,,,,
18.652,UpdateCounters,1,210,1196,35.06,,,,
18.653,UpdateCounters,1,212,1196,35.07,,,,
18.655,UpdateCounters,1,214,1196,35.08,,,,
18.656,UpdateCounters,1,216,1196,35.09,,,,
18.657,UpdateCounters,1,218,1196,35.10,,,,
18.658,UpdateCounters,1,220,1196,35.11,,,,
18.659,UpdateCounters,1,222,1196,35.12,,,,
18.659,UpdateCounters,1,224,1196,35.13,,,,
18.660,UpdateCounters,1,226,1196,35.13,,,,
18.951,UpdateCounters,1,226,1197,39.40,,,,
18.976,UpdateCounters,1,226,1198,39.91,,,,
18.996,MajorGC,,,,,40.07,28.51,6.986,finalize incremental marking via task
19.005,UpdateCounters,1,178,1198,28.51,,,,
19.012,UpdateCounters,1,55,1198,28.67,,,,
19.015,UpdateCounters,1,55,1199,28.85,,,,
19.518,UpdateCounters,1,55,1201,33.90,,,,
20.017,UpdateCounters,1,55,1202,40.24,,,,
20.033,UpdateCounters,1,55,1203,40.58,,,,
20.601,MajorGC,,,,,52.04,28.58,6.776,finalize incremental marking via task
21.303,MajorGC,,,,,39.74,28.78,7.157,finalize incremental marking via task
21.543,MajorGC,,,,,33.35,28.70,6.305,finalize incremental marking via task
21.563,UpdateCounters,1,55,1202,29.02,,,,
22.101,MajorGC,,,,,39.71,28.67,6.631,finalize incremental marking via task
22.668,MajorGC,,,,,38.11,28.86,6.787,finalize incremental marking via task
23.218,MajorGC,,,,,37.18,28.89,7.555,finalize incremental marking via task
26.138,MinorGC,,,,,56.49,32.45,1.761,allocation failure
27.533,UpdateCounters,1,55,1203,44.75,,,,
27.782,UpdateCounters,1,55,1204,46.95,,,,
28.250,UpdateCounters,1,55,1205,51.07,,,,
28.516,UpdateCounters,1,55,1206,53.58,,,,
